human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	GABA3
0	27	72	15	13	0	0	0	20	1	37	28	34	27	18	10	22	39	27	67	45	120	18	26	27	28	19	18	21	23	33	38	24	0	19	16	16	19	20	16	10	15	16	39	18	13	14	17	13	15	13	HACA-snoRNA
1	4	4	6	4	3	4	2	4	4	4	4	4	3	2	3	3	3	4	5	4	4	4	5	4	4	4	4	4	4	2	3	3	3	2	3	4	2	2	3	4	4	4	4	4	3	4	2	3	3	3	Hammerhead_HH9
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HAR1A
67	34	57	34	33	36	35	29	31	29	43	24	15	22	30	24	33	23	31	33	21	33	19	29	26	22	22	27	32	19	18	24	34	44	33	36	29	27	29	32	21	32	19	31	19	19	33	23	22	15	37	Histone3
1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HOTAIRM1_2
1	1	1	0	1	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	HOTTIP_2
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HOXA11-AS1_1
1	1	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HOXA11-AS1_2
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HOXA11-AS1_3
